iter	Passed	Remaining
637	932	529
638	933	527
639	934	525
640	936	524
641	937	522
642	938	521
643	939	519
644	940	517
645	941	516
646	942	514
647	944	512
648	945	511
649	946	509
650	948	508
651	949	506
652	950	505
653	951	503
654	953	502
655	954	500
656	955	498
657	956	497
658	957	495
659	958	493
660	959	492
661	961	490
662	962	489
663	963	487
664	964	486
665	966	484
666	967	482
667	968	481
668	969	479
669	970	477
670	971	476
671	972	474
672	973	473
673	975	471
674	976	470
675	977	468
676	979	467
677	980	465
678	981	463
679	982	462
680	983	460
681	984	459
682	985	457
683	986	455
684	988	454
685	989	452
686	990	451
687	991	449
688	993	448
689	994	446
690	995	445
691	996	443
692	997	442
693	998	440
694	1000	438
695	1001	437
696	1002	435
697	1003	434
698	1004	432
699	1006	431
700	1007	429
701	1008	428
702	1010	426
703	1011	425
704	1012	423
705	1013	422
706	1014	420
707	1015	418
708	1017	417
709	1018	415
710	1019	414
711	1020	412
712	1021	411
713	1023	409
714	1024	408
715	1025	406
716	1026	405
717	1028	403
718	1029	402
719	1030	400
720	1031	399
721	1033	397
722	1034	396
723	1036	395
724	1037	393
725	1038	391
726	1039	390
727	1040	388
728	1042	387
729	1043	385
730	1044	384
731	1045	382
732	1047	381
733	1048	380
734	1050	378
735	1051	377
736	1052	375
737	1053	374
738	1054	372
739	1056	371
740	1057	369
741	1058	367
742	1059	366
743	1060	364
744	1061	363
745	1063	362
746	1064	360
747	1066	359
748	1067	357
749	1068	356
750	1069	354
751	1071	353
752	1072	351
753	1073	350
754	1074	348
755	1075	347
756	1077	345
757	1078	344
758	1079	342
759	1081	341
760	1082	339
761	1083	338
762	1084	336
763	1085	335
764	1086	333
765	1088	332
766	1089	331
767	1090	329
768	1091	328
769	1093	326
770	1095	325
771	1096	323
772	1097	322
773	1098	320
774	1099	319
775	1100	317
776	1101	316
777	1103	314
778	1104	313
779	1105	311
780	1106	310
781	1107	308
782	1108	307
783	1110	305
784	1111	304
785	1112	302
786	1113	301
787	1114	299
788	1116	298
789	1117	297
790	1118	295
791	1119	294
792	1120	292
793	1122	291
794	1123	289
795	1124	288
796	1126	286
797	1127	285
798	1128	283
799	1129	282
800	1131	281
801	1132	279
802	1133	278
803	1134	276
804	1135	275
805	1136	273
806	1138	272
807	1139	270
808	1140	269
809	1142	267
810	1143	266
811	1144	264
812	1145	263
813	1146	262
814	1147	260
815	1149	259
816	1150	257
817	1151	256
818	1152	254
819	1153	253
820	1155	251
821	1156	250
822	1157	249
823	1159	247
824	1160	246
825	1161	244
826	1162	243
827	1164	241
828	1165	240
829	1166	238
830	1168	237
831	1169	236
832	1170	234
833	1171	233
834	1173	231
835	1174	230
836	1175	228
837	1176	227
838	1178	226
839	1179	224
840	1180	223
841	1181	221
842	1183	220
843	1184	218
844	1186	217
845	1187	216
846	1188	214
847	1189	213
848	1190	211
849	1192	210
850	1193	208
851	1194	207
852	1195	206
853	1196	204
854	1198	203
855	1199	201
856	1201	200
857	1203	199
858	1204	197
859	1205	196
860	1206	194
861	1207	193
862	1209	191
863	1210	190
864	1211	189
865	1213	187
866	1214	186
867	1215	184
868	1217	183
869	1218	182
870	1219	180
871	1220	179
872	1221	177
873	1223	176
874	1224	174
875	1225	173
876	1226	172
877	1227	170
878	1229	169
879	1230	167
880	1231	166
881	1233	164
882	1234	163
883	1235	162
884	1236	160
885	1237	159
886	1238	157
887	1240	156
888	1241	155
889	1242	153
890	1244	152
891	1245	150
892	1246	149
893	1247	147
894	1249	146
895	1250	145
896	1251	143
897	1252	142
898	1253	140
899	1254	139
900	1256	138
901	1257	136
902	1259	135
903	1260	133
904	1261	132
905	1262	131
906	1263	129
907	1264	128
908	1265	126
909	1267	125
910	1268	123
911	1269	122
912	1270	121
913	1271	119
914	1273	118
915	1274	116
916	1275	115
917	1276	114
918	1277	112
919	1279	111
920	1280	109
921	1281	108
922	1282	106
923	1283	105
924	1284	104
925	1286	102
926	1288	101
927	1289	100
928	1290	98
929	1291	97
930	1293	95
931	1294	94
932	1295	93
933	1296	91
934	1297	90
935	1299	88
936	1300	87
937	1301	86
938	1303	84
939	1304	83
940	1305	81
941	1307	80
942	1308	79
943	1309	77
944	1310	76
945	1311	74
946	1312	73
947	1313	72
948	1315	70
949	1316	69
950	1318	67
951	1319	66
952	1320	65
953	1322	63
954	1323	62
955	1324	60
956	1325	59
957	1327	58
958	1328	56
959	1329	55
960	1331	54
961	1332	52
962	1333	51
963	1335	49
964	1336	48
965	1337	47
966	1338	45
967	1339	44
968	1340	42
969	1341	41
970	1343	40
971	1344	38
972	1345	37
973	1347	35
974	1348	34
975	1349	33
976	1350	31
977	1352	30
978	1353	29
979	1354	27
980	1356	26
981	1357	24
982	1358	23
983	1359	22
984	1360	20
985	1362	19
986	1363	17
987	1364	16
988	1365	15
989	1367	13
990	1368	12
991	1369	11
992	1370	9
993	1371	8
994	1372	6
995	1373	5
996	1375	4
997	1376	2
998	1377	1
999	1378	0
